neuron,mean_still,mean_move,cohen_d,pval,auc,label,p_adj,sig,unit_name
55,4.055033858558665,8.707192233418304,-0.7797356433065716,8.97182032874266e-137,0.28696978509362875,suppressed,3.2119116776898725e-136,True,<HDF5 object reference>
56,3.184718047853929,8.65758905230867,-0.9107862010267207,2.859887516705385e-171,0.2386197241552657,suppressed,1.5512723196674664e-170,True,<HDF5 object reference>
57,2.4955081561060757,5.8262986929506,-0.7501988427176374,5.357463075404499e-128,0.2836975630500162,suppressed,1.7758997972174172e-127,True,<HDF5 object reference>
58,2.621349402699814,6.607943256284181,-0.808746508521745,2.4434586227505067e-139,0.2604490660501711,suppressed,9.305938158985973e-139,True,<HDF5 object reference>
59,1.9080838075648325,6.432123862388812,-0.9460339780698787,1.0974048299013822e-198,0.2120524610622857,suppressed,8.928884752379428e-198,True,<HDF5 object reference>
60,1.7283301655944874,7.132099640335971,-0.92780727969904,3.1001245962976915e-251,0.21158698403327209,suppressed,3.963730733837763e-250,True,<HDF5 object reference>
61,4.030794478793044,9.099734320119689,-0.8003488003290253,1.706402313984127e-121,0.26397150802720454,suppressed,5.3587020035641886e-121,True,<HDF5 object reference>
62,1.7873275248240565,4.622951469371334,-0.6864058771129048,6.288534884490488e-118,0.2814547170969373,suppressed,1.8155608779416086e-117,True,<HDF5 object reference>
63,1.2529161110490088,4.476857034880587,-0.8045725629039295,1.1776379717462166e-179,0.2418373281815817,suppressed,7.268868860088717e-179,True,<HDF5 object reference>
64,3.7911982307965064,11.492652008639503,-0.9997688466306441,3.2713752765453557e-258,0.2225725488018378,suppressed,4.5044321115509124e-257,True,<HDF5 object reference>
65,4.941275117500657,9.749993803808273,-0.7351290107506718,3.430510737920501e-102,0.2902456605163248,suppressed,8.89944089982275e-102,True,<HDF5 object reference>
66,1.9866056103824856,6.3672120507849135,-0.8617588524735832,6.661276857341839e-177,0.22954560732312532,suppressed,3.974561858213964e-176,True,<HDF5 object reference>
67,4.162471184971532,8.612100136450733,-0.745132918297106,2.2978354295043193e-118,0.2896189233345707,suppressed,6.742828555430708e-118,True,<HDF5 object reference>
68,1.0484481542839355,2.271046003123741,-0.40660039055575264,1.0002395401011614e-45,0.3675465951968295,suppressed,1.7553223301775287e-45,True,<HDF5 object reference>
69,0.6709853249994452,2.2593971711643066,-0.5622650398874226,5.72186591868474e-98,0.3048644742495229,suppressed,1.38407297222239e-97,True,<HDF5 object reference>
70,2.6040508629846895,7.5151696962734995,-0.9155934048689028,9.641347990897436e-194,0.23475583736909944,suppressed,7.190838709877671e-193,True,<HDF5 object reference>
71,4.499176028764079,10.295076248976931,-0.8817231365740934,3.0404440694555488e-158,0.2578450835746999,suppressed,1.470917536304171e-157,True,<HDF5 object reference>
72,1.6889703313169038,5.832412458915934,-0.9186295489912032,3.9400607230186894e-188,0.21384199573869864,suppressed,2.821083477681382e-187,True,<HDF5 object reference>
73,3.275789249001334,7.47100851381257,-0.7803502966710523,3.2460549100482517e-144,0.28335936974826764,suppressed,1.2631387584752978e-143,True,<HDF5 object reference>
74,2.617982235116172,9.905545430285052,-0.9319536137950216,2.81598515740949e-266,0.2132211770310596,suppressed,4.200511193135823e-265,True,<HDF5 object reference>
75,1.1325976376184612,1.8270678172639931,-0.2038429608806305,1.637883850371991e-13,0.4525553925336623,,2.1400088263984407e-13,True,<HDF5 object reference>
76,3.573495356192322,8.89510584556731,-0.9742356663216672,1.7721852275205818e-194,0.23298416771640426,suppressed,1.3792224162008005e-193,True,<HDF5 object reference>
77,0.44664779404684385,0.7291343363370465,-0.1708053885640017,1.1782691509062234e-07,0.43321933572800153,,1.40606785341476e-07,True,<HDF5 object reference>
78,0.7067167639529136,2.471524691553752,-0.5969227319570631,6.329068223927779e-119,0.3052011696658473,suppressed,1.8881720201384543e-118,True,<HDF5 object reference>
79,1.0353469648571436,2.0741212132165123,-0.37624011753874337,4.209614221354436e-32,0.35763983673779554,suppressed,6.227445831590447e-32,True,<HDF5 object reference>
80,2.407869396550883,9.739250933775386,-1.0004444320821146,0.0,0.21336387801805648,suppressed,0.0,True,<HDF5 object reference>
81,1.635600549213342,2.1522743342254365,-0.14936665458005133,4.7064364476747963e-07,0.4794762661881227,,5.579153139958864e-07,True,<HDF5 object reference>
82,2.3845410762987345,3.918369750041792,-0.35590068501252087,3.0823841297672594e-33,0.4151552028502203,suppressed,4.675819993460504e-33,True,<HDF5 object reference>
83,2.8719070505537747,4.705174522631177,-0.4066734115556243,1.8737671176692475e-39,0.3918508091503994,suppressed,3.0771037987412414e-39,True,<HDF5 object reference>
84,1.7552362856584451,2.752012429827397,-0.2876380961312166,1.3533457348674034e-20,0.41280027122686325,,1.9074715475690174e-20,True,<HDF5 object reference>
85,0.27207752857941975,1.0157907384219729,-0.42233867291640825,8.993838197239687e-63,0.3595162487688113,suppressed,1.8088730756246113e-62,True,<HDF5 object reference>
86,1.8204258250989862,4.355373389411902,-0.5685689972957528,5.119423855334864e-87,0.320677468003706,suppressed,1.190099831305118e-86,True,<HDF5 object reference>
87,1.708749423842616,4.748295021655757,-0.7539029814317619,9.845520789382648e-138,0.261014974470187,suppressed,3.5966290230601917e-137,True,<HDF5 object reference>
88,2.6746736756470972,7.759077453026946,-0.9430141265323042,8.39631061736884e-188,0.22725256394144072,suppressed,5.780536925034701e-187,True,<HDF5 object reference>
89,1.6959508227532245,2.968472861349859,-0.38948685185715853,4.977548946010289e-36,0.3733047590377292,suppressed,7.747663142050797e-36,True,<HDF5 object reference>
90,12.187138458801956,11.292876103529581,0.1208242280281389,0.0006251735963183206,0.5457500241123019,,0.0006994129608811213,True,<HDF5 object reference>
91,4.360651478437453,4.229614138307227,0.025515779083152463,0.48593318221805815,0.5102292787645148,,0.4942161341876842,False,<HDF5 object reference>
92,4.829581320061471,5.622453287759839,-0.15340043205888537,1.5948391030541057e-05,0.44476430590181476,,1.8299756374787495e-05,True,<HDF5 object reference>
93,6.423106760761819,7.008203686157826,-0.09119485169246491,0.015069498364311748,0.4490371884763656,,0.016152336570130557,True,<HDF5 object reference>
94,35.27798324826166,40.4382514565847,-0.48376871981451874,3.17165472529481e-48,0.36710694755793527,suppressed,5.793124447222153e-48,True,<HDF5 object reference>
95,1.983212660460799,2.6487177902468235,-0.20074797644808107,3.6253160220982872e-09,0.4276369359548033,,4.4145004622829486e-09,True,<HDF5 object reference>
96,2.8306674973235086,3.7365806209371057,-0.2140255065025349,2.2820777478490965e-09,0.410528673180398,,2.7978898415410154e-09,True,<HDF5 object reference>
97,5.720505873014964,7.746452918512941,-0.3522476193657037,7.299572150355723e-25,0.39873728258741076,suppressed,1.0537285604142536e-24,True,<HDF5 object reference>
98,4.633290583895558,5.844259434237042,-0.2565175829206535,2.818463933658035e-14,0.43186623371688937,,3.737074400924357e-14,True,<HDF5 object reference>
